student_id,month,text_fa
RADAR-011,2026-08,🔺وزیر ارتباطات: تصمیم‌های حوزه فناوری به‌صورت شفاف با مردم در میان گذاشته شوند 🔹مطرح شدن ویرایش جدید طرح «نظام‌بخشی فضای مجازی» که از آن با عنوان «صیانت ۳» نیز یاد می‌شود، با واکنش وزیر ارتباطات روبه‌رو شد. ستار هاشمی با تاکید بر اینکه دلیلی ندارد اختیارات دولت به جای دیگری منتقل شود، این موضوع را در تضاد با اصل قانون اساسی دانست و از تصمیم‌گیری نهادهایی که در برابر مردم پاسخگو نیستند انتقاد کرد. به گفته او، تصمیم‌های حوزه فناوری باید با ادله و منطق و به‌صورت شفاف با مردم در میان گذاشته شوند. 🔹وزیر ارتباطات و فناوری اطلاعات در نشست وزارت ارتباطات به مناسبت روز خبرنگار گفت: اینکه یک جایی تصمیم می‌گیرند اما پاسخگو نیستند، درست نیست. مگر می‌شود 
RADAR-012,2026-08,🔺نایب رئیس کمیسیون اقتصادی مجلس: آنچه به مجلس منتقل می‌شود، روایت درست و کاملی از مشکلات کسب‌وکارها نیست 🔹فعالان اقتصاد دیجیتال در حالی از تصمیم‌های رگولاتورها و عملکرد آنها انتقاد کردند که مهدی طغیانی، پس از شنیدن دغدغه‌هایشان، تاکید کرد برخی مسائلی که به مجلس منتقل می‌شود با واقعیت کسب‌وکارها و آنچه حالا می‌شنود متفاوت است. 🔹طغیانی در نشست تخصصی نقش ظرفیت‌های تقنینی و تنظیم‌گری با توضیح تفاوت روایت‌ها در مجلس با آنچه کسب و کارها مطرح کردند، گفت: مثلاً در جلسه کمیسیون اقتصادی با بیمه مرکزی، روایت مطرح‌شده این بود که پلتفرم‌ها از مشتری پول می‌گیرند اما آن را به شرکت‌های بیمه پرداخت نمی‌کنند. 🔹 باقر انصاری، دستیار معاون حقوقی رئیس‌جمهور، با اش
RADAR-013,2026-08,🔺فیلترشکن‌ها متهم ردیف اول حجم‌خواری اینترنت افزایش سرعت تمام‌شدن بسته‌های اینترنت، در ماه‌های اخیر دوباره بحث «حجم‌خواری» اپراتورها را میان کاربران داغ کرده است. تست‌های انجام‌شده در نشست شفاف‌سازی ایرانسل نشان می‌دهد حجم اینترنت مطابق ضرایب مصوب رگولاتوری محاسبه می‌شود. 🔹افزایش استفاده از فیلترشکن‌ها، تمام‌بها محاسبه‌شدن ترافیک داخلی هنگام روشن بودن فیلترشکن و تغییر الگوی مصرف کاربران پس از جنگ، محاسبه و حتی درک میزان مصرف اینترنت را پیچیده‌تر کرده است. 🔹پیام مهدوی، مدیرکل توسعه محصول ایرانسل همچنین درباره تاثیر استفاده از VPN بر مصرف اینترنت توضیح داد: هنگام استفاده از فیلترشکن کاربر در زمان نصب و استفاده مجوز‌هایی را در اختیار آن قرار می‌
RADAR-014,2026-08,🔻دولت زیر سؤال، پلتفرم‌ها زیر ذره‌بین 🔹 در اپیزود سوم پیوست هفته، آرش برهمند و مهرک محمودی از پشت صحنه اقتصاد دیجیتال ایران می‌گویند. 🔹این هفته از طرح صیانت ۳ و بن‌بست وزارت ارتباطات صحبت می‌کنیم و از فیلترینگ و اینکه چه بلایی سر محتوای کودک آورده است و در نهایت شخص ناشناسی که صاحب بیش از یک درصد سهام مخابرات شد. 🔹سری به اخبار بازار سخت‌افزار و لپ‌تاپ‌های دست دوم زده‌ایم و در انتها می‌پرسیم چطور هم اکالا هم اسنپ مارکت خودشان را نفر اول بازار می دانند. فائزه فتحی‌رستمی و مرضیه ادهم، پژوهشگر سیاست‌گذاری اینترنت و بابک نقاش و میثم قاسمی هم از زیر پوست اتفاق‎های بازار صحبت می‌کنند. 🔹این قسمت یک پیام روشن دارد: نقد فقط سهم دولت نیست؛ پلتفرم‌ها هم 
RADAR-015,2026-08,طرح صیانت ۳؛ این یکی از کجا آمد؟ یک طرح محرمانه و البته سخت‌جان برای محدود کردن اینترنت، دوباره سر از مجلس درآورده؛ طرحی که هنوز کلی سؤال درباره پشت‌پرده و آینده‌‌اش وجود دارد. این وسط وزیر ارتباطات برای دفاع از وزارتخانه‌‌اش دست به دامن قانون اساسی شده. اما چرا؟ و چرا وزارت ارتباطات دوباره به نقطه‌ای رسیده که انگار باید از اختیارات خودش دفاع کند؟ در این بخش از پیوست هفته، سؤال مهرک محمودی از وزیر ارتباطات درباره آینده قانون‌گذاری اینترنت را می‌شنویم و آرش برهمند و مهرک محمودی از پشت‌صحنه یکی دیگر از دعواهای قدیمی اقتصاد دیجیتال ایران می‌گویند. و البته یک سؤال بامزه‌تر هم هست: چرا وزارت ارتباطات بعد از این همه سال، دوباره به دوران محمود احمدی
RADAR-016,2026-08,🔺پلتفرم‌های سلامت دیجیتال مجوزی باید بگیرند که وجود ندارد 🔹یک نامه داخلی که میان مدیران وزارت بهداشت رد و بدل شده، بدون آنکه به قانون یا مصوبه مشخصی استناد کند، بار دیگر پلتفرم‌های دوراپزشکی را در مرکز یک بحران خبری قرار داده است. در این نامه، فعالیت این پلتفرم‌ها تا زمان دریافت مجوز از وزارت بهداشت «غیرمجاز» توصیف شده و آنها، متهم به سوءاستفاده از اطلاعات پزشکان شده‌اند. 🔹این درحالی است که فعالان سلامت دیجیتال می‌گویند چنین مجوزی اساساً در درگاه ملی مجوزها وجود ندارد و آنها تمام مجوزهای قانونی موجود را دریافت کرده‌اند. بنابراین وزارت بهداشت چیزی را مطالبه می‌کند که وجود خارجی ندارد. 🆔
RADAR-017,2026-07,"🔺 عارف: «منع» باید از ادبیات توسعه فناوری حذف شود 🔹محمدرضا عارف، معاون اول رئیس‌جمهور، در نشست مشترک با فعالان اقتصاد دیجیتال با تأکید بر تغییر نگاه دولت به فناوری گفت اینترنت باید مانند یک «شاهراه» دیده شود؛ مسیری که به جای بستن آن، باید تخلفاتش را مدیریت کرد. 🔹به گفته او، «نگاه مبتنی بر ترس، تحریم و مونتاژکاری باید جای خود را به بومی‌سازی و توسعه حداکثری بدهد و کلمه ""منع"" دیگر در ادبیات توسعه فناوری ایران جایی ندارد.» 🔹در این نشست، نمایندگان بخش خصوصی نیز مهم‌ترین مطالبات خود را مطرح کردند؛ از رفع اختلالات اینترنت و مشارکت در تصمیم‌گیری‌های حوزه فضای مجازی گرفته تا کاهش مداخلات رگولاتوری در فین‌تک و سلامت دیجیتال، توسعه پلتفرم‌های هوشمند لج"
RADAR-018,2026-07,🔺 وزارت اطلاعات مصادیق شبکه‌ها، انسان‌رسانه‌ها و صفحات مجازی معاند را اعلام کرد 🔹وزارت اطلاعات در اجرای تبصره ماده ۴ «قانون تشدید مجازات جاسوسی و همکاری با رژیم صهیونیستی و کشورهای متخاصم علیه امنیت و منافع ملی» فهرست مصادیق شبکه‌ها، انسان‌رسانه‌ها و صفحات مجازی معاند را اعلام کرد. 🔹بخش نخست این ماده به اقدام‌ها و همکاری‌هایی مربوط می‌شود که در حوزه‌های سیاسی، فرهنگی، رسانه‌ای یا تبلیغاتی انجام می‌شوند و نتیجه آنها می‌تواند ایجاد ترس عمومی، انتشار اخبار کذب، بازتاب خسارت‌های ساختگی یا آسیب به امنیت ملی باشد. 🔹بخش دوم، به ارسال فیلم، تصویر یا اطلاعات اختصاص دارد. چنانچه این محتوا به شبکه‌ها، رسانه‌ها، اینفلوئنسرها یا صفحات مجازی بیگانه ارسال ش
RADAR-019,2026-07,🔺سه بخش از ابلاغیه بانک مرکزی درباره سکوهای طلا باقی مانده است 🔹محمدرضا حاجی جعفری، معاون مرکز ملی بهبود محیط کسب‌وکار وزارت اقتصاد اعلام کرد که سه بخش از ابلاغیه بانک مرکزی مربوط به فعالیت سکوهای آنلاین طلا باقی‌ مانده است. نخست ضوابط خزانه است، اینکه صاحب سکو باید طلای خود را به خزانه بسپرد. دوم سامانه ناظر است که وظیفه بررسی یکسان بودن میزان تعهد سکو با میزان ذخیره طلا سکو را برعهده دارد تا خالی‌فروشی اتفاق نیفتد و مورد سوم هم دستورالعمل تائیدیه بانک مرکزی است. زیرا که صدور این مجوز نیازمند اخذ تائیدیه از سمت بانک مرکزی است. 🔹معاون مرکز ملی بهبود محیط کسب‌وکار همچنین گفت که ضوابط تائیدیه تهیه شده اما تاکنون به دست این نهاد نرسیده است تا در
RADAR-020,2026-07,🔺چرا هر خبر قطعی اینترنت جدی گرفته می‌شود؟ 🔹مدت زمانی که یک نقل‌قول جعلی از وزیر ارتباطات درباره قطعی اینترنت پس از جام جهانی، وزارت ارتباطات را به واکنش رسمی وادارد، چند ساعت بیشتر طول نکشید. خبر خیلی زود تکذیب شد؛ اما مسئله اصلی، خود شایعه نبود. پرسش این است که چرا بخش بزرگی از کاربران، بدون دیدن هیچ سند رسمی، این خبر را باور کردند؟ 🔹پاسخ را نه در خودِ شایعه، بلکه در تجربه یک‌سال اخیر کاربران ایرانی از اینترنت باید جست‌وجو کرد. 🔹در سال ۱۴۰۴ کاربران اینترنت ایران ۳ دوره قطعی اینترنت را تجربه کردند. این تجربه‌ها موجب می‌شود که در شرایط بحران کاربران اینترنت به سادگی تمامی اخبار مربوط به احتمال قطعی اینترنت را باور کنند. 🔹واکنش سریع وزارت ارتب
RADAR-021,2026-07,🔺 هوشمندسازی خدمات دولت به ۲۳.۷ درصد رسید؛ فاصله با هدف ۴۰ درصدی برنامه هفتم 🔹 سازمان فناوری اطلاعات ایران از پیشرفت پروژه‌های دولت پلتفرمی، اتصال ۹۸ درصد دستگاه‌های مشمول به پنجره ملی خدمات دولت هوشمند و توسعه درگاه ملی مجوزها خبر داد 🔹به گزارش پیوست، مدیر پروژه پنجره واحد دولت هوشمند با اعلام اینکه تاکنون تنها ۲۳.۷ درصد خدمات دولتی هوشمندسازی شده‌اند، گفت این رقم در حالی ثبت شده که مطابق برنامه هفتم توسعه، تا پایان سال گذشته باید ۴۰ درصد خدمات به‌صورت هوشمند ارائه می‌شد. 🔹 به گزارش پیوست، در بازدید از SHOWROOM سازمان فناوری اطلاعات ایران و آشنایی با تازه‌ترین پروژه‌های این سازمان، مسئولان این پروژه‌ها آخرین اقدامات و برنامه‌های مرتبط با دول
RADAR-022,2026-07,🔺معاون وزیر ارتباطات: دور زدن فیلترینگ پیامدهای خطرناکی برای امنیت کشور دارد 🔹معاون سیاستگذاری وزارت ارتباطات در نشست تخصصی «زیست‌بوم دیجیتال ایرانیان؛ یافته‌های یک نظرسنجی ملی» با استناد به نتایج این پژوهش گفت: ۷۴.۴ درصد کاربران از فیلترشکن استفاده می‌کنند. دور زدن سیاست فیلترینگ پیامدهای بسیار خطرناکی برای اقتصاد ملی، امنیت کاربران و امنیت زیرساخت‌های کشور به دنبال دارد. 🔹احسان چیت‌ساز، با اشاره به اینکه کار نکردن یک سیاست تبعات امنیتی و اجتماعی زیادی به دنبال خواهد داشت، اضافه کرد: از سوی دیگر برای عده‌ای هم دسترسی‌های خاص ایجاد شده و همین مساله عدم عدالت را برای مردم به وجود آورده‌. پافشاری بر این سیاست‌ها نشان می‌دهد یک جای کار می‌لنگد. 
RADAR-023,2026-07,🔺فیلتر در وقت اضافه؛ فوتبال ۳۶۰ را چه کسی متوقف کرد؟ 🔹چه نهادی دستور توقف فوتبال ۳۶۰ را صادر کرد؟ در حالی که ساترا، قوه قضاییه و ستاد ساماندهی و راهبری فضای مجازی هر سه نقش داشتن در این تصمیم را رد کرده‌اند، همچنان مرجع تصمیم‌گیر مشخص نیست. 🔹ابهام درباره مرجع تصمیم، فقط مسئله فوتبال ۳۶۰ نیست؛ بلکه امنیت حقوقی همه کسب‌وکارهای دیجیتال را زیر سؤال می‌برد. فوتبال ۳۶۰ به پشتوانه برند و مخاطبانش توانست صدایش را به افکار عمومی برساند، اما بسیاری از کسب‌وکارهای کوچک‌تر در صورت توقف ناگهانی دامنه یا خدماتشان، نه صدایی برای اعتراض دارند و نه مرجع روشنی برای پیگیری. 🔹این اتفاق نشان داد داشتن مجوز نیز الزاماً امنیت حقوقی ایجاد نمی‌کند و در غیاب فرآیند شف
RADAR-024,2026-07,🔺بیست سال معاونت علمی؛ پایان عصر استارت‌آپ‌ها، آغاز عصر هوش مصنوعی 🔹دو دهه از تأسیس معاونت علمی، فناوری و اقتصاد دانش‌بنیان ریاست‌جمهوری می‌گذرد؛ نهادی که قرار بود حلقه اتصال دانشگاه، صنعت و دولت باشد و مسیر تبدیل علم به ثروت را هموار کند. امروز، پس از پنج دوره مدیریتی و چهار دولت، معاونت علمی به یکی از تأثیرگذارترین بازیگران سیاست فناوری کشور تبدیل شده است؛ نهادی که در شکل‌گیری قانون دانش‌بنیان، توسعه پارک‌های فناوری، رشد استارتاپ‌ها و حالا سیاست‌گذاری هوش مصنوعی نقش محوری داشته است. 🔹با این حال، پرسش اصلی در بیستمین سال فعالیت معاونت این است که آیا معاونت علمی توانسته مأموریت اولیه خود، یعنی ایجاد یک نظام یکپارچه نوآوری را محقق کند یا همچنا
RADAR-025,2026-07,🔺ساماندهی فضای مجازی از هفته آينده آغاز می‌شود 🔹مسئول فضای مجازی کهگیلویه و بویراحمد، محمود محمدی اعلام کرد فضای مجازی در مسیر تنظیم‌گری قرار گرفته و فرآیند ساماندهی و بیمه فعالان این حوزه از هفته آینده توسط وزارت فرهنگ و ارشاد آغاز خواهد شد. 🔹او همچنین گفت که براساس این مصوبه که توسط شورای عالی فضای مجازی تصویب شده مسئولیت کنترل و مدیریت گردش محتوای فضای مجازی برعهده سازمان صداوسیما است. 🔹محمدی همچنین افزود در قوانین، پیش‌بینی شده است که در صورت شکل‌گیری پنج شبکه اجتماعی با بیش از پنج میلیون کاربر، شبکه‌های اجتماعی داخلی از حمایت‌های ویژه برخوردار خواهند شد و هزینه استفاده از شبکه‌های اجتماعی خارجی افزایش می‌یابد. 🆔 🔗متن کامل این خبر را در س
RADAR-026,2026-07,🔹دبیر شورای عالی فضای مجازی، محمدامین آقامیری اعلام کرد که به‌منظور تسریع اجرای سند «برنامه جامع ترویج و ارتقای سواد فضای مجازی» باید عزم جدی از سوی دستگاه‌های هماهنگ‌کننده اتفاق بیفتد و موانع این مسیر برطرف شود. 🔹طبق گفته آقامیری، آثار اجرای این سند باید در زندگی و زیست مجازی مردم دیده شود. 🔹دبیر شورای عالی فضای مجازی تدوین راهکارهای عملیاتی برای تحقق اهداف پیش‌بینی‌شده را ضروری دانست. نمایندگان ۱۸ دستگاه‌های مسئول درارتباط با این سند تاکید کردند که وزارت فرهنگ و ارشاد در انجام وظایف هماهنگی، پیگیری و راهبری سند از جدیت و کارآمدی لازم برخوردار نبوده و تاکنون دبیرخانه اصلی سند هم به‌صورت منسجم و عملیاتی تشکیل نشده است. 🆔 🔗متن کامل این خبر را 
RADAR-027,2026-07,💻 پیوست ۱۴۷ در مردادماه منتشر شد ▪️قطعی طولانی‌مدت اینترنت و تلاش دولت برای اتصال مجدد آن، اختلاف قدیمی میان مرکز ملی فضای مجازی و وزارت ارتباطات و فناوری اطلاعات را دوباره به رسانه‌ها کشاند. ماهنامه پیوست در شماره ۱۴۷ به واکاوی ریشه‌های این اختلاف و عملکرد مرکز ملی فضای مجازی پرداخته که با تیتر «پازل قدرت» روی جلد این شماره آمده است. ▪️گفت‌وگوهایی با ابوالحسن فیروزآبادی، دبیر سابق شورای عالی فضای مجازی، نایب‌رئیس اتاق اصناف تهران درباره واردات کالاهای ICT، یک حقوقدادن درباره قطع اینترنت و معاون فناوری اطلاعات بانک شهر و گزارش‌هایی درباره وضعیت درآمدی شرکت مخابرات ایران، علل حملات مکرر سایبری به بانک‌های ایرانی، تحریم صرافی‌های رمزارزی ایرانی
RADAR-028,2026-07,🔺مرکز پژوهش‌های مجلس چه تصویری از امنیت سایبری ترسیم کرده است؟ سکوت پس از نشت 🔹فهرست نشت‌ داده‌ها در ایران هرسال بلندتر می‌شود؛ از هک اسنپ‌فود و تپسی تا نفوذ به سامانه ثبت‌احوال و ده‌ها بانک و شرکت بیمه، اما بر اساس گزارش تازه مرکز پژوهش‌های مجلس، این طولانی شدن فهرست هنوز به تصویب یک قانون، تشکیل یک نهاد ناظر یا پرداخت یک ریال غرامت به کاربران منجر نشده است. 🔹به گزارش پیوست، در گزارش «مروری بر چالش‌ها و راهکارهای سیاستی ارتقای امنیت سایبری در ایران» که مرکز پژوهش‌های مجلس منتشر کرده، به ۱۵ رخداد امنیتی از تیر ۱۴۰۲ تا خرداد ۱۴۰۴ اشاره شده است. در این گزارش هیچ‌ اشاره‌ای به حملاتی که در طی جنگ رمضان اتفاق افتاده و حمله اخیر به چهار بانک کشور و
RADAR-029,2026-07,🔹ستار هاشمی، وزیر ارتباطات و فناوری اطلاعات در نشست کاری با علی مدنی‌زاده، وزیر امور اقتصادی و دارایی با بیان اینکه آیین‌نامه صدور پروانه اپراتوری هوش مصنوعی حاصل برگزاری نشست‌های متعدد با فعالان بخش خصوصی است، افزود: تاکنون ۱۲ شرکت برای دریافت پروانه اپراتوری هوش مصنوعی اعلام آمادگی کرده‌اند، اما به دلیل طرح یک ابهام شکلی، فرآیند صدور پروانه به تعویق افتاده است و امیدواریم با رفع این ابهام، صدور پروانه‌ها هرچه سریع‌تر آغاز شود. 🔹وزیر ارتباطات همچنین با اشاره به احکام برنامه هفتم پیشرفت، به‌ویژه بندهای ۶۶ و ۱۰۷، گفت: وزارت ارتباطات موظف است توسعه زیرساخت‌های هوش مصنوعی را در چارچوب «ابر دولت» دنبال کند و این مأموریت با اتکا به ظرفیت‌های بخش خ
RADAR-030,2026-07,🔺 لایحه تحریم روسیه قانون رمزارزها را به حاشیه برد 🔹 تنظیم‌گری بازار رمزارزها در آمریکا بار دیگر پشت صف اولویت‌های سیاسی کنگره قرار گرفت. در حالی که صنعت دارایی‌های دیجیتال امیدوار بود قانون شفافیت بازار دارایی‌های دیجیتال (Clarity Act) پیش از تعطیلات تابستانی کنگره به رای گذاشته شود، رهبران سنا تصمیم گرفته‌اند ابتدا به بررسی لایحه تحریم روسیه و تایید انتصاب‌های فدرال بپردازند. 🔹این تاخیر در حالی رخ می‌دهد که زمان قانون‌گذاران نیز رو به پایان است. سنای آمریکا از ۸ اوت وارد تعطیلات تابستانی می‌شود و پس از بازگشت در ماه سپتامبر نیز فرصت محدودی برای بررسی لوایح مهم خواهد داشت. 🔹 اما مشکل تنها کمبود زمان نیست. این لایحه هنوز از نظر سیاسی نیز به ن
